Category,Sub Category,Description,Amount
Income,Pam,Pamela_job,1335
Income,Pam,Pamela_SSA,947
Income,Gary,Gary_SSA,1560
Income,Gary,Gary_Pension,720
Necessary,Food,Groceries,600
Necessary,Car,Gas (car),240
Necessary,Health,Healthcare & Perscriptions,200
Necessary,Home,Electric (home),190
Necessary,Home,Gas (home),155
Necessary,Car,Car Insurance,127
Necessary,Home,Home Insurance,85
Necessary,Car,Car Maintenance,65
Necessary,Home,Water (home),65
Necessary,Home,Cell Phone,50
Necessary,Home,Property Tax,50
Necessary,Home,Trash (home),20
Necessary,Health,Medicare Insurance,180
Necessary,Home,Internet,65
Nice2Have,Food,Eat out,110
Nice2Have,Gifts,Gifts to others,200
Nice2Have,Shopping,General Shopping,85
Nice2Have,Food,Coffee and Snacks,50
Nice2Have,Entertainment,Amazon Prime,15
Nice2Have,Entertainment,Netflix,16
Nice2Have,Food,Sam's Club,110
Nice2Have,Entertainment,Other Subscription (apps),20
Savings,High-yield,Schwab,1491.2
Savings,Checking,Checking,372.8
